index,timestep,node,net_export
184,t0001,n4606,0.0
185,t0001,n4607,0.0
186,t0001,n4608,0.0
187,t0001,n4609,0.0
188,t0001,n4610,0.0
189,t0001,n4611,0.0
229,t0001,n4651,0.0
173,t0001,n4595,0.0
172,t0001,n4594,0.0
171,t0001,n4593,0.0
155,t0001,n4575,0.0
156,t0001,n4576,0.0
157,t0001,n4577,0.0
158,t0001,n4579,0.0
159,t0001,n4580,0.0
160,t0001,n4581,0.0
161,t0001,n4583,0.0
190,t0001,n4612,0.0
162,t0001,n4584,0.0
164,t0001,n4586,0.0
165,t0001,n4587,0.0
166,t0001,n4588,0.0
167,t0001,n4589,0.0
168,t0001,n4590,0.0
169,t0001,n4591,0.0
170,t0001,n4592,0.0
163,t0001,n4585,0.0
191,t0001,n4613,0.0
174,t0001,n4596,0.0
193,t0001,n4615,0.0
213,t0001,n4635,0.0
214,t0001,n4636,0.0
215,t0001,n4637,0.0
216,t0001,n4638,0.0
217,t0001,n4639,0.0
218,t0001,n4640,0.0
219,t0001,n4641,0.0
220,t0001,n4642,0.0
221,t0001,n4643,0.0
222,t0001,n4644,0.0
223,t0001,n4645,0.0
224,t0001,n4646,0.0
225,t0001,n4647,0.0
226,t0001,n4648,0.0
192,t0001,n4614,0.0
212,t0001,n4634,0.0
211,t0001,n4633,0.0
227,t0001,n4649,0.0
209,t0001,n4631,0.0
210,t0001,n4632,0.0
195,t0001,n4617,0.0
196,t0001,n4618,0.0
197,t0001,n4619,0.0
198,t0001,n4620,0.0
199,t0001,n4621,0.0
200,t0001,n4622,0.0
201,t0001,n4623,0.0
194,t0001,n4616,0.0
203,t0001,n4625,0.0
204,t0001,n4626,0.0
205,t0001,n4627,0.0
206,t0001,n4628,0.0
207,t0001,n4629,0.0
208,t0001,n4630,0.0
202,t0001,n4624,0.0
1021,t0002,n5554,0.0
1022,t0002,n5555,0.0
1023,t0002,n5556,0.0
1024,t0002,n5557,0.0
1025,t0002,n5559,-555.9
1035,t0002,n5606,-1077.7500822518734
1026,t0002,n5572,0.0
1030,t0002,n5596,0.0
1028,t0002,n5591,0.0
1029,t0002,n5592,0.0
1031,t0002,n5597,0.0
1032,t0002,n5598,0.0
1033,t0002,n5599,0.0
1034,t0002,n5602,-53.68963078047888
1020,t0002,n5553,0.0
1027,t0002,n5579,0.0
1019,t0002,n5552,0.0
1011,t0002,n5543,0.0
1017,t0002,n5550,0.0
1036,t0002,n5643,0.0
1002,t0002,n5534,0.0
1003,t0002,n5535,0.0
1004,t0002,n5536,0.0
1005,t0002,n5537,0.0
1006,t0002,n5538,0.0
1007,t0002,n5539,0.0
1008,t0002,n5540,0.0
1009,t0002,n5541,0.0
1010,t0002,n5542,0.0
1012,t0002,n5544,0.0
1013,t0002,n5545,0.0
1014,t0002,n5546,0.0
1015,t0002,n5547,0.0
1016,t0002,n5549,0.0
1018,t0002,n5551,0.0
1037,t0002,n5644,0.0
924,t0002,n4731,0.0
1039,t0002,n5646,0.0
1060,t0002,n5668,0.0
1061,t0002,n5669,0.0
1062,t0002,n5670,0.0
1063,t0002,n5671,0.0
1064,t0002,n5672,0.0
1065,t0002,n5673,0.0
1066,t0002,n5674,0.0
1067,t0002,n5675,0.0
1068,t0002,n5676,0.0
1069,t0002,n5677,0.0
1070,t0002,n5678,0.0
1071,t0002,n5679,0.0
1072,t0002,n5680,0.0
1073,t0002,n5681,0.0
1074,t0002,n5682,0.0
1059,t0002,n5667,0.0
1058,t0002,n5666,0.0
1057,t0002,n5665,0.0
1056,t0002,n5664,0.0
1040,t0002,n5647,0.0
1041,t0002,n5648,0.0
1042,t0002,n5649,0.0
1043,t0002,n5650,0.0
1044,t0002,n5651,0.0
1045,t0002,n5653,0.0
1046,t0002,n5654,0.0
1038,t0002,n5645,0.0
1047,t0002,n5655,0.0
1049,t0002,n5657,0.0
1050,t0002,n5658,0.0
1051,t0002,n5659,0.0
1052,t0002,n5660,0.0
1053,t0002,n5661,0.0
1054,t0002,n5662,0.0
1055,t0002,n5663,0.0
1048,t0002,n5656,0.0
1001,t0002,n5525,-0.0
925,t0002,n4732,0.0
999,t0002,n4854,0.0
945,t0002,n4752,0.0
946,t0002,n4753,0.0
947,t0002,n4754,0.0
948,t0002,n4755,0.0
949,t0002,n4756,0.0
950,t0002,n4757,0.0
951,t0002,n4758,0.0
952,t0002,n4759,0.0
953,t0002,n4760,0.0
954,t0002,n4761,0.0
955,t0002,n4762,0.0
956,t0002,n4763,0.0
957,t0002,n4764,0.0
958,t0002,n4765,0.0
959,t0002,n4766,0.0
944,t0002,n4751,0.0
943,t0002,n4750,0.0
942,t0002,n4749,0.0
941,t0002,n4748,0.0
1075,t0002,n5683,0.0
926,t0002,n4733,0.0
927,t0002,n4734,0.0
928,t0002,n4735,0.0
929,t0002,n4736,0.0
930,t0002,n4737,0.0
931,t0002,n4738,0.0
960,t0002,n4767,0.0
932,t0002,n4739,0.0
934,t0002,n4741,0.0
935,t0002,n4742,0.0
936,t0002,n4743,0.0
937,t0002,n4744,0.0
938,t0002,n4745,0.0
939,t0002,n4746,0.0
940,t0002,n4747,0.0
933,t0002,n4740,0.0
1000,t0002,n4855,0.0
961,t0002,n4768,0.0
963,t0002,n4770,0.0
984,t0002,n4791,0.0
985,t0002,n4793,-83.14666666666668
986,t0002,n4798,-166.29333333333335
987,t0002,n4799,-83.14666666666668
988,t0002,n4800,-41.57333333333334
989,t0002,n4825,-138.8075471698113
990,t0002,n4826,-20.090566037735844
991,t0002,n4836,-466.19
992,t0002,n4842,-466.19
993,t0002,n4844,0.0
994,t0002,n4845,0.0
995,t0002,n4846,0.0
996,t0002,n4847,0.0
997,t0002,n4848,0.0
998,t0002,n4852,0.0
983,t0002,n4790,0.0
982,t0002,n4789,0.0
981,t0002,n4788,0.0
980,t0002,n4787,0.0
964,t0002,n4771,0.0
965,t0002,n4772,0.0
966,t0002,n4773,0.0
967,t0002,n4774,0.0
968,t0002,n4775,0.0
969,t0002,n4776,0.0
970,t0002,n4777,0.0
962,t0002,n4769,0.0
971,t0002,n4778,0.0
973,t0002,n4780,0.0
974,t0002,n4781,0.0
975,t0002,n4782,0.0
976,t0002,n4783,0.0
977,t0002,n4784,0.0
978,t0002,n4785,0.0
979,t0002,n4786,0.0
972,t0002,n4779,0.0
1076,t0002,n5684,0.0
1152,t0002,n7688,0.0
1078,t0002,n5686,0.0
1176,t0002,n7850,0.0
1177,t0002,n7852,0.0
1178,t0002,n7857,0.0
1179,t0002,n7863,0.0
1180,t0002,n7870,0.0
1181,t0002,n7871,0.0
1182,t0002,n7872,0.0
1183,t0002,n7873,0.0
1184,t0002,n7878,0.0
1185,t0002,n7879,0.0
1186,t0002,n7884,0.0
1187,t0002,n7888,0.0
1188,t0002,n7889,0.0
1189,t0002,n7890,0.0
1190,t0002,n7892,0.0
1175,t0002,n7823,0.0
1191,t0002,n7897,0.0
1174,t0002,n7805,0.0
1172,t0002,n7798,0.0
1157,t0002,n7721,0.0
1158,t0002,n7723,0.0
1159,t0002,n7724,0.0
1160,t0002,n7726,0.0
1161,t0002,n7729,-311.9802869676476
1162,t0002,n7745,0.0
1163,t0002,n7756,0.0
1164,t0002,n7760,0.0
1165,t0002,n7769,0.0
1166,t0002,n7783,0.0
1167,t0002,n7786,0.0
1168,t0002,n7788,0.0
1169,t0002,n7790,0.0
1170,t0002,n7791,0.0
1171,t0002,n7795,0.0
1173,t0002,n7800,0.0
1192,t0002,n7901,0.0
1193,t0002,n7907,0.0
1194,t0002,n7910,0.0
1215,t0002,n8002,0.0
1216,t0002,n8013,0.0
1217,t0002,n8015,0.0
1218,t0002,n8016,0.0
1219,t0002,n8028,0.0
1220,t0002,n8043,0.0
1221,t0002,n8045,0.0
1222,t0002,n8046,0.0
1223,t0002,n8047,0.0
1224,t0002,n8051,0.0
1225,t0002,n8052,0.0
1226,t0002,n8055,0.0
1227,t0002,n8060,0.0
1228,t0002,n8061,0.0
1229,t0002,n8066,0.0
1214,t0002,n7998,0.0
1213,t0002,n7996,0.0
1212,t0002,n7989,0.0
1211,t0002,n7988,0.0
1195,t0002,n7913,0.0
1196,t0002,n7916,0.0
1197,t0002,n7933,0.0
1198,t0002,n7934,0.0
1199,t0002,n7938,0.0
1200,t0002,n7939,0.0
1201,t0002,n7941,0.0
1156,t0002,n7720,0.0
1202,t0002,n7944,0.0
1204,t0002,n7959,0.0
1205,t0002,n7961,-681.0699999999999
1206,t0002,n7967,0.0
1207,t0002,n7975,0.0
1208,t0002,n7976,0.0
1209,t0002,n7983,0.0
1210,t0002,n7984,0.0
1203,t0002,n7952,0.0
1077,t0002,n5685,0.0
1155,t0002,n7712,0.0
1153,t0002,n7704,0.0
1098,t0002,n5726,0.0
1099,t0002,n5732,0.0
1100,t0002,n5733,0.0
1101,t0002,n5734,0.0
1102,t0002,n5735,0.0
1103,t0002,n5738,0.0
1104,t0002,n5739,0.0
1105,t0002,n6839,0.0
1106,t0002,n6841,0.0
1107,t0002,n6842,0.0
1108,t0002,n6843,0.0
1109,t0002,n6844,0.0
1110,t0002,n6845,0.0
1111,t0002,n6846,0.0
1112,t0002,n6847,0.0
1097,t0002,n5725,0.0
1113,t0002,n6848,0.0
1096,t0002,n5724,0.0
1094,t0002,n5718,0.0
1079,t0002,n5687,0.0
1080,t0002,n5688,0.0
1081,t0002,n5689,0.0
1082,t0002,n5690,0.0
1083,t0002,n5692,0.0
1084,t0002,n5693,0.0
1085,t0002,n5694,0.0
1086,t0002,n5695,0.0
1087,t0002,n5696,0.0
1088,t0002,n5697,0.0
1089,t0002,n5702,-466.19
1090,t0002,n5710,0.0
1091,t0002,n5711,0.0
1092,t0002,n5713,0.0
1093,t0002,n5714,0.0
